world_rank,institution,national_rank,total_score,country_iso_code,country,year
601-700,University of Alaska - Fairbanks,155-175,,US,United States,2020
601-700,University of Alicante,19-22,,ES,Spain,2020
601-700,University of Arkansas at Fayetteville,155-175,,US,United States,2020
601-700,University of Calcutta,2-4,,IN,India,2020
601-700,University of Canberra,27-29,,AU,Australia,2020
601-700,University of Cyprus,1,,CY,Cyprus,2020
601-700,University of Delhi,2-4,,IN,India,2020
601-700,University of Haifa,7,,IL,Israel,2020
601-700,University of Jinan,85-102,,CN,China,2020
601-700,University of Johannesburg,6-7,,ZA,South Africa,2020
601-700,University of Konstanz,36-39,,DE,Germany,2020
